title,genres,year,clean_title,source
Jaws 3,"action & adventure, horror movies, thrillers",1983,jaws 3,Netflix
Jaws: The Revenge,"action & adventure, horror movies, thrillers",1987,jaws the revenge,Netflix
My Heroes Were Cowboys,documentaries,2021,my heroes were cowboys,Netflix
Safe House,action & adventure,2012,safe house,Netflix
The Smart Money Woman,"international tv shows, romantic tv shows, tv comedies",2020,the smart money woman,Netflix
Training Day,"dramas, thrillers",2001,training day,Netflix
Castle and Castle,"international tv shows, tv dramas",2021,castle and castle,Netflix
Dharmakshetra,"international tv shows, tv dramas, tv sci-fi & fantasy",2014,dharmakshetra,Netflix
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"action & adventure, anime features, international movies",2002,inuyasha the movie 2 the castle beyond the looking glass,Netflix
InuYasha the Movie 3: Swords of an Honorable Ruler,"action & adventure, anime features, international movies",2003,inuyasha the movie 3 swords of an honorable ruler,Netflix
InuYasha the Movie 4: Fire on the Mystic Island,"action & adventure, anime features, international movies",2004,inuyasha the movie 4 fire on the mystic island,Netflix
InuYasha the Movie: Affections Touching Across Time,"action & adventure, anime features, international movies",2001,inuyasha the movie affections touching across time,Netflix
Nailed It,reality tv,2021,nailed it,Netflix
Naruto Shippuden the Movie: Blood Prison,"action & adventure, anime features, international movies",2011,naruto shippuden the movie blood prison,Netflix
Naruto Shippûden the Movie: Bonds,"action & adventure, anime features, international movies",2008,naruto shippden the movie bonds,Netflix
Naruto Shippûden the Movie: The Will of Fire,"action & adventure, anime features, international movies",2009,naruto shippden the movie the will of fire,Netflix
Naruto Shippuden: The Movie,"action & adventure, anime features, international movies",2007,naruto shippuden the movie,Netflix
Naruto Shippuden: The Movie: The Lost Tower,"action & adventure, anime features, international movies",2010,naruto shippuden the movie the lost tower,Netflix
Naruto the Movie 2: Legend of the Stone of Gelel,"action & adventure, anime features, international movies",2005,naruto the movie 2 legend of the stone of gelel,Netflix
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"action & adventure, anime features, international movies",2006,naruto the movie 3 guardians of the crescent moon kingdom,Netflix
Naruto the Movie: Ninja Clash in the Land of Snow,"action & adventure, anime features, international movies",2004,naruto the movie ninja clash in the land of snow,Netflix
Nightbooks,children & family movies,2021,nightbooks,Netflix
Numberblocks,kids' tv,2021,numberblocks,Netflix
Raja Rasoi Aur Anya Kahaniyan,"docuseries, international tv shows",2014,raja rasoi aur anya kahaniyan,Netflix
Saved by the Bell,"kids' tv, tv comedies",1994,saved by the bell,Netflix
Schumacher,"documentaries, international movies, sports movies",2021,schumacher,Netflix
Stories by Rabindranath Tagore,"international tv shows, tv dramas",2015,stories by rabindranath tagore,Netflix
Too Hot To Handle: Latino,"international tv shows, reality tv, romantic tv shows",2021,too hot to handle latino,Netflix
A StoryBots Space Adventure,children & family movies,2021,a storybots space adventure,Netflix
Jack Whitehall: Travels with My Father,"british tv shows, docuseries, international tv shows",2021,jack whitehall travels with my father,Netflix
King of Boys,"dramas, international movies",2018,king of boys,Netflix
The World's Most Amazing Vacation Rentals,reality tv,2021,the worlds most amazing vacation rentals,Netflix
You vs. Wild: Out Cold,children & family movies,2021,you vs wild out cold,Netflix
Yowamushi Pedal,"anime series, international tv shows",2013,yowamushi pedal,Netflix
Little Singham - Black Shadow,"children & family movies, comedies",2021,little singham  black shadow,Netflix
Tughlaq Durbar,"comedies, dramas, international movies",2020,tughlaq durbar,Netflix
Tughlaq Durbar (Telugu),"comedies, dramas, international movies",2021,tughlaq durbar telugu,Netflix
Firedrake the Silver Dragon,children & family movies,2021,firedrake the silver dragon,Netflix
Kate,action & adventure,2021,kate,Netflix
Lucifer,"crime tv shows, tv comedies, tv dramas",2021,lucifer,Netflix
Metal Shop Masters,reality tv,2021,metal shop masters,Netflix
Omo Ghetto: the Saga,"action & adventure, comedies, dramas",2020,omo ghetto the saga,Netflix
Pokémon Master Journeys: The Series,"anime series, kids' tv",2021,pokmon master journeys the series,Netflix
Prey,"international movies, thrillers",2021,prey,Netflix
Titipo Titipo,"kids' tv, korean tv shows",2019,titipo titipo,Netflix
Blood Brothers: Malcolm X & Muhammad Ali,"documentaries, sports movies",2021,blood brothers malcolm x  muhammad ali,Netflix
Mighty Raju,kids' tv,2017,mighty raju,Netflix
Paradise Hills,"sci-fi & fantasy, thrillers",2019,paradise hills,Netflix
The Women and the Murderer,"documentaries, international movies",2021,the women and the murderer,Netflix
Into the Night,"international tv shows, tv dramas, tv mysteries",2021,into the night,Netflix
JJ+E,"dramas, international movies, romantic movies",2021,jje,Netflix
Show Dogs,"children & family movies, comedies",2018,show dogs,Netflix
The Circle,reality tv,2021,the circle,Netflix
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"documentaries, music & musicals",2018,if i leave here tomorrow a film about lynyrd skynyrd,Netflix
Kid Cosmic,"kids' tv, tv comedies, tv sci-fi & fantasy",2021,kid cosmic,Netflix
Octonauts: Above & Beyond,"british tv shows, kids' tv",2021,octonauts above  beyond,Netflix
On the Verge,"tv comedies, tv dramas",2021,on the verge,Netflix
Tobot Galaxy Detectives,kids' tv,2019,tobot galaxy detectives,Netflix
Untold: Breaking Point,"documentaries, sports movies",2021,untold breaking point,Netflix
Countdown: Inspiration4 Mission to Space,"docuseries, science & nature tv",2021,countdown inspiration4 mission to space,Netflix
Shadow Parties,"dramas, international movies, thrillers",2020,shadow parties,Netflix
Tayo the Little Bus,"kids' tv, korean tv shows",2016,tayo the little bus,Netflix
Angamaly Diaries,"action & adventure, comedies, dramas",2017,angamaly diaries,Netflix
Bunk'd,"kids' tv, tv comedies",2021,bunkd,Netflix
A Champion Heart,"children & family movies, dramas",2018,a champion heart,Netflix
Dive Club,"kids' tv, tv dramas, teen tv shows",2021,dive club,Netflix
La casa de papel,"crime tv shows, international tv shows, spanish-language tv shows",2021,la casa de papel,Netflix
Money Heist: From Tokyo to Berlin,"docuseries, international tv shows, spanish-language tv shows",2021,money heist from tokyo to berlin,Netflix
Sharkdog,kids' tv,2021,sharkdog,Netflix
Worth,dramas,2021,worth,Netflix
Afterlife of the Party,"comedies, romantic movies",2021,afterlife of the party,Netflix
Anjaam,"dramas, international movies, thrillers",1994,anjaam,Netflix
Bright Star,"dramas, romantic movies",2009,bright star,Netflix
Dhanak,"comedies, dramas, independent movies",2015,dhanak,Netflix
Final Account,documentaries,2021,final account,Netflix
Gurgaon,"dramas, international movies, thrillers",2017,gurgaon,Netflix
Here and There,"dramas, international movies, romantic movies",2020,here and there,Netflix
Heroes of Goo Jit Zu,"kids' tv, tv comedies",2021,heroes of goo jit zu,Netflix
Hotel Del Luna,"international tv shows, romantic tv shows, tv comedies",2019,hotel del luna,Netflix
In the Cut,thrillers,2003,in the cut,Netflix
Luv Kushh,kids' tv,2012,luv kushh,Netflix
Pororo - The Little Penguin,"kids' tv, korean tv shows",2013,pororo  the little penguin,Netflix
Q-Force,"crime tv shows, tv action & adventure, tv comedies",2021,qforce,Netflix
Shikara,"dramas, international movies, romantic movies",2020,shikara,Netflix
A Cinderella Story,"children & family movies, comedies",2004,a cinderella story,Netflix
Agatha Christie's Crooked House,"dramas, international movies, thrillers",2017,agatha christies crooked house,Netflix
An Unfinished Life,dramas,2005,an unfinished life,Netflix
Barbie Big City Big Dreams,"children & family movies, music & musicals",2021,barbie big city big dreams,Netflix
Blade Runner: The Final Cut,"action & adventure, classic movies, cult movies",1982,blade runner the final cut,Netflix
Brave Animated Series,"international tv shows, tv action & adventure, tv comedies",2021,brave animated series,Netflix
Chappie,"action & adventure, sci-fi & fantasy",2015,chappie,Netflix
Clear and Present Danger,"action & adventure, dramas",1994,clear and present danger,Netflix
Cliffhanger,action & adventure,1993,cliffhanger,Netflix
Cold Mountain,"dramas, romantic movies",2003,cold mountain,Netflix
Crocodile Dundee in Los Angeles,"action & adventure, comedies",2001,crocodile dundee in los angeles,Netflix
Dear John,"dramas, romantic movies",2010,dear john,Netflix
Do the Right Thing,"classic movies, comedies, dramas",1989,do the right thing,Netflix
"El patrón, radiografía de un crimen","dramas, international movies, thrillers",2014,el patrn radiografa de un crimen,Netflix
